otu_id,Class,Family,Genus,Species,Life_cycle,Source
OTU1616,NA,NA,NA,NA,NA,NA
OTU1624,Insecta,Stenopsocidae,Graphopsocus,cruciatus,Terrestrial,Taxonomy
OTU165,Insecta,Heleomyzidae,Suillia,pallida,Terrestrial,"Truffle Farming Today, a Comprehensive World Guide"
OTU1652,Insecta,Culicidae,Mansonia,NA,Semi-aquatic,freshwaterecology.info
OTU1666,Insecta,Nemouridae,Protonemura,intricata,Semi-aquatic,freshwaterecology.info
OTU1673,Insecta,Caeciliusidae,Valenzuela,flavidus,Terrestrial,Taxonomy
OTU169,Clitellata,Lumbricidae,Aporrectodea,NA,NA,NA
OTU17,NA,NA,NA,NA,NA,NA
OTU1707,NA,NA,NA,NA,NA,NA
OTU172,NA,NA,NA,NA,NA,NA
OTU1728,Insecta,NA,NA,NA,NA,NA
OTU173,NA,NA,NA,NA,NA,NA
OTU174,Branchiopoda,Eurycercidae,Eurycercus,lamellatus,Aquatic,Taxonomy
OTU175,NA,NA,NA,NA,NA,NA
OTU176,NA,NA,NA,NA,NA,NA
OTU177,Insecta,Lauxaniidae,Pseudolyciella,pallidiventris,Terrestrial,“Dagger flies” (Insecta: Diptera: Empedidae).
OTU179,NA,NA,NA,NA,NA,NA
OTU18,NA,NA,NA,NA,NA,NA
OTU181,NA,NA,NA,NA,NA,NA
OTU182,Insecta,NA,NA,NA,NA,NA
OTU1824,Insecta,Baetidae,Baetis,rhodani,Semi-aquatic,freshwaterecology.info
OTU1832,NA,NA,NA,NA,NA,NA
OTU185,Insecta,Chironomidae,Paratrichocladius,rufiventris,Semi-aquatic,freshwaterecology.info
OTU1863,NA,NA,NA,NA,NA,NA
OTU187,Insecta,Chironomidae,Tvetenia,calvescens,Semi-aquatic,freshwaterecology.info
OTU1872,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU188,Clitellata,Enchytraeidae,Buchholzia,appendiculata,Semi-terrestrial,"DUMNICKA, E. (1996). AQUATIC OLIGOCHAETA AND APHANONEURA FROM THE. Mémoires de biospéologie, 23, 167-171."
OTU189,NA,NA,NA,NA,NA,NA
